


Sun Oct  8 16:54:22 2017

Percolation,Bond
Probability,0.500000
Perc type,2,
Runs,10
Size,Allocation,,1: Percolation,2: Percolation,3: Percolation,4: Percolation,5: Percolation,6: Percolation,7: Percolation,8: Percolation,,0,1,2,3,4,5,6,7,8,,1: Cluster,2: Cluster,3: Cluster,4: Cluster,5: Cluster,6: Cluster,7: Cluster,8: Cluster,,0,1,2,3,4,5,6,7,8,,1: Total,2: Total,3: Total,4: Total,5: Total,6: Total,7: Total,8: Total,,0,1,2,3,4,5,6,7,8,,,1: Times percolated,2: Times percolated,3: Times percolated,4: Times percolated,5: Times percolated,6: Times percolated,7: Times percolated,8: Times percolated,,1: Avg cluster size,2: Avg cluster size,3: Avg cluster size,4: Avg cluster size,5: Avg cluster size,6: Avg cluster size,7: Avg cluster size,8: Avg cluster size,
16x16,0.000017,,0.000028,0.000215,0.000213,0.000206,0.000224,0.000331,0.000345,0.000341,,0,1.000000,0.129423,0.130517,0.135148,0.124052,0.083887,0.080556,0.081429,,0.000027,0.000094,0.000109,0.000118,0.000136,0.000173,0.000178,0.000202,,0,1.000000,0.284042,0.245630,0.226655,0.196468,0.154246,0.150338,0.132244,,0.000054,0.000309,0.000322,0.000323,0.000360,0.000505,0.000523,0.000543,,0,1.000000,0.176490,0.169412,0.168470,0.151389,0.108028,0.104266,0.100313,,,3,3,3,3,3,3,3,3,,194,194,194,194,194,194,194,194,
32x32,0.000060,,0.000087,0.000193,0.000161,0.000180,0.000204,0.000215,0.000257,0.000360,,0,1.000000,0.450960,0.539416,0.481440,0.425355,0.403998,0.338527,0.241362,,0.000100,0.000167,0.000157,0.000169,0.000180,0.000203,0.000246,0.000283,,0,1.000000,0.601441,0.638217,0.592199,0.557596,0.492625,0.407317,0.353576,,0.000187,0.000359,0.000318,0.000350,0.000384,0.000418,0.000503,0.000643,,0,1.000000,0.520735,0.588180,0.535030,0.487240,0.447073,0.372190,0.290785,,,3,3,3,3,3,3,3,6,,670,670,670,670,670,670,670,689,
64x64,0.000217,,0.000206,0.000422,0.000760,0.000353,0.000374,0.000417,0.000395,0.000538,,0,1.000000,0.488521,0.271472,0.584868,0.551872,0.495083,0.522796,0.383640,,0.000316,0.000407,0.000373,0.000332,0.000376,0.000387,0.000396,0.000500,,0,1.000000,0.775841,0.848322,0.950662,0.839756,0.815694,0.797778,0.631572,,0.000522,0.000830,0.001133,0.000685,0.000750,0.000804,0.000791,0.001038,,0,1.000000,0.629549,0.461158,0.762294,0.696255,0.649509,0.660513,0.503109,,,6,6,6,6,6,6,6,12,,2657,2657,2657,2657,2657,2657,2657,2726,
128x128,0.000833,,0.000840,0.000798,0.000711,0.000687,0.000665,0.000777,0.000751,0.000806,,0,1.000000,1.053668,1.181358,1.224035,1.263609,1.081885,1.118908,1.042297,,0.001231,0.001136,0.000908,0.000890,0.001057,0.001067,0.000967,0.001018,,0,1.000000,1.083803,1.355499,1.383526,1.165137,1.153781,1.273611,1.209271,,0.002071,0.001934,0.001620,0.001576,0.001722,0.001844,0.001718,0.001824,,0,1.000000,1.071373,1.279020,1.314070,1.203171,1.123495,1.205973,1.135483,,,5,5,5,5,5,5,5,17,,10236,10236,10236,10236,10236,10236,10236,10509,
256x256,0.003158,,0.002151,0.001847,0.001618,0.001521,0.001444,0.001554,0.001476,0.001703,,0,1.000000,1.164438,1.330015,1.414491,1.490026,1.384274,1.457619,1.263004,,0.004678,0.004321,0.003473,0.002972,0.003625,0.003548,0.003464,0.003373,,0,1.000000,1.082766,1.346942,1.573986,1.290467,1.318434,1.350676,1.386826,,0.006830,0.006168,0.005091,0.004493,0.005069,0.005102,0.004940,0.005077,,0,1.000000,1.107229,1.341564,1.519997,1.347307,1.338488,1.382630,1.345281,,,5,5,5,5,5,5,5,22,,36045,36045,36045,36045,36045,36045,36045,37096,
512x512,0.012387,,0.039145,0.028142,0.023308,0.026653,0.021001,0.023654,0.021010,0.020901,,0,1.000000,1.390971,1.679461,1.468684,1.863909,1.654922,1.863146,1.872904,,0.018004,0.017326,0.016053,0.015934,0.015366,0.014852,0.014378,0.014732,,0,1.000000,1.039119,1.121540,1.129931,1.171714,1.212273,1.252231,1.222146,,0.057149,0.045468,0.039361,0.042587,0.036367,0.038505,0.035388,0.035632,,0,1.000000,1.256893,1.451917,1.341939,1.571445,1.484190,1.614937,1.603857,,,6,6,6,6,6,6,6,28,,137057,137057,137057,137057,137057,137057,137057,140767,
1024x1024,0.048332,,0.467343,0.224550,0.207272,0.174349,0.183319,0.193677,0.170660,0.186804,,0,1.000000,2.081238,2.254731,2.680495,2.549337,2.413004,2.738446,2.501783,,0.074742,0.072312,0.065941,0.066146,0.066151,0.068410,0.071754,0.073401,,0,1.000000,1.033604,1.133477,1.129954,1.129882,1.092565,1.041649,1.018275,,0.542085,0.296863,0.273213,0.240496,0.249470,0.262087,0.242414,0.260205,,0,1.000000,1.826047,1.984113,2.254031,2.172948,2.068343,2.236198,2.083302,,,5,5,5,5,5,5,5,33,,506705,506705,506705,506705,506705,506705,506705,520782,
2048x2048,0.187829,,2.995336,1.649528,1.301684,1.298064,1.210125,1.276561,1.236763,1.245715,,0,1.000000,1.815874,2.301125,2.307541,2.475230,2.346411,2.421917,2.404511,,0.315669,0.305864,0.287198,0.289024,0.318481,0.312160,0.326971,0.341716,,0,1.000000,1.032056,1.099131,1.092190,0.991168,1.011239,0.965434,0.923774,,3.311005,1.955392,1.588882,1.587088,1.528606,1.588721,1.563733,1.587432,,0,1.000000,1.693269,2.083858,2.086214,2.166029,2.084070,2.117372,2.085762,,,6,6,6,6,6,6,6,39,,1941488,1941488,1941488,1941488,1941488,1941488,1941488,1993566,
4096x4096,0.800900,,0.552272,0.409276,0.374405,0.345743,0.325999,0.330157,0.313152,0.436986,,0,1.000000,1.349388,1.475063,1.597347,1.694091,1.672754,1.763589,1.263821,,1.268269,1.523478,1.390820,1.442900,1.455646,1.565704,1.525664,1.720563,,0,1.000000,0.832483,0.911886,0.878972,0.871276,0.810031,0.831290,0.737124,,1.820541,1.932753,1.765225,1.788643,1.781645,1.895861,1.838816,2.157548,,0,1.000000,0.941942,1.031336,1.017833,1.021831,0.960271,0.990061,0.843800,,,2,2,2,2,2,2,2,41,,6733797,6733797,6733797,6733797,6733797,6733797,6733797,6933154,

