


Mon Oct  9 01:00:16 2017

Percolation,Site
Probability,0.600000
Perc type,2,
Runs,50
Size,Allocation,,1: Percolation,2: Percolation,3: Percolation,4: Percolation,5: Percolation,6: Percolation,7: Percolation,8: Percolation,9: Percolation,10: Percolation,11: Percolation,12: Percolation,,0,1,2,3,4,5,6,7,8,9,10,11,12,,1: Cluster,2: Cluster,3: Cluster,4: Cluster,5: Cluster,6: Cluster,7: Cluster,8: Cluster,9: Cluster,10: Cluster,11: Cluster,12: Cluster,,0,1,2,3,4,5,6,7,8,9,10,11,12,,1: Total,2: Total,3: Total,4: Total,5: Total,6: Total,7: Total,8: Total,9: Total,10: Total,11: Total,12: Total,,0,1,2,3,4,5,6,7,8,9,10,11,12,,,1: Times percolated,2: Times percolated,3: Times percolated,4: Times percolated,5: Times percolated,6: Times percolated,7: Times percolated,8: Times percolated,9: Times percolated,10: Times percolated,11: Times percolated,12: Times percolated,,1: Avg cluster size,2: Avg cluster size,3: Avg cluster size,4: Avg cluster size,5: Avg cluster size,6: Avg cluster size,7: Avg cluster size,8: Avg cluster size,9: Avg cluster size,10: Avg cluster size,11: Avg cluster size,12: Avg cluster size,
64x64,0.000779,,0.000183,0.000254,0.000194,0.000222,0.000229,0.000270,0.000266,0.000309,0.000263,0.000224,0.000221,0.000283,,0,1.000000,0.721404,0.944797,0.825441,0.798354,0.676417,0.687455,0.592880,0.695462,0.816950,0.827454,0.646242,,0.000199,0.000248,0.000195,0.000177,0.000167,0.000168,0.000158,0.000159,0.000162,0.000163,0.000172,0.000168,,0,1.000000,0.801287,1.022506,1.124203,1.192650,1.186528,1.261657,1.252324,1.230543,1.218546,1.155870,1.180621,,0.000382,0.000502,0.000388,0.000399,0.000396,0.000438,0.000424,0.000467,0.000425,0.000387,0.000393,0.000452,,0,1.000000,0.760915,0.983737,0.958053,0.964424,0.871586,0.901047,0.816940,0.899091,0.986246,0.971177,0.845591,,,25,25,25,25,25,25,25,25,25,25,25,25,,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,
128x128,0.002431,,0.000652,0.000648,0.000596,0.000627,0.000741,0.000670,0.000585,0.000649,0.000525,0.000853,0.000590,0.001331,,0,1.000000,1.005942,1.093673,1.039512,0.880148,0.973358,1.113834,1.003895,1.241501,0.764363,1.105016,0.489917,,0.000771,0.000781,0.000675,0.000561,0.000506,0.000483,0.000463,0.000452,0.000450,0.000471,0.000455,0.000685,,0,1.000000,0.987074,1.142017,1.375146,1.523375,1.597038,1.665076,1.705545,1.713973,1.637871,1.695614,1.125175,,0.001423,0.001430,0.001272,0.001188,0.001247,0.001153,0.001049,0.001102,0.000975,0.001324,0.001045,0.002016,,0,1.000000,0.995629,1.119351,1.197957,1.141289,1.234639,1.357346,1.291907,1.459526,1.075065,1.362115,0.705882,,,39,39,39,39,39,39,39,39,39,39,39,39,,7755,7755,7755,7755,7755,7755,7755,7755,7755,7755,7755,7755,
256x256,0.009366,,0.002468,0.002619,0.002394,0.002242,0.002194,0.002113,0.002127,0.002060,0.002050,0.002210,0.002117,0.002532,,0,1.000000,0.942565,1.031172,1.100812,1.124930,1.168281,1.160608,1.198214,1.204033,1.116886,1.165621,0.974838,,0.003015,0.003126,0.002512,0.001956,0.001695,0.001549,0.001435,0.001384,0.001319,0.001335,0.001293,0.001555,,0,1.000000,0.964406,1.200176,1.540961,1.778864,1.945860,2.100692,2.178652,2.285417,2.258820,2.331552,1.938088,,0.005483,0.005744,0.004905,0.004198,0.003889,0.003662,0.003562,0.003444,0.003369,0.003544,0.003410,0.004087,,0,1.000000,0.954450,1.117711,1.305904,1.409908,1.497251,1.539381,1.592174,1.627427,1.546856,1.607646,1.341406,,,43,43,43,43,43,43,43,43,43,43,43,43,,30108,30108,30108,30108,30108,30108,30108,30108,30108,30108,30108,30108,
512x512,0.036928,,0.008894,0.010515,0.009661,0.009027,0.008828,0.008727,0.008497,0.008434,0.008825,0.009124,0.009909,0.010375,,0,1.000000,0.845777,0.920573,0.985252,1.007431,1.019127,1.046724,1.054465,1.007804,0.974699,0.897494,0.857215,,0.011909,0.011294,0.009077,0.007251,0.006260,0.005553,0.005193,0.004896,0.004809,0.004759,0.004857,0.005128,,0,1.000000,1.054485,1.312014,1.642450,1.902262,2.144784,2.293374,2.432289,2.476301,2.502388,2.451850,2.322434,,0.020803,0.021809,0.018738,0.016277,0.015088,0.014279,0.013689,0.013330,0.013634,0.013883,0.014766,0.015503,,0,1.000000,0.953855,1.110192,1.277998,1.378710,1.456843,1.519613,1.560532,1.525795,1.498366,1.408766,1.341859,,,47,47,47,47,47,47,47,47,47,47,47,47,,120359,120359,120359,120359,120359,120359,120359,120359,120359,120359,120359,120359,
1024x1024,0.145919,,0.023342,0.029482,0.028647,0.028611,0.029776,0.029524,0.031295,0.031220,0.032459,0.031865,0.034374,0.036080,,0,1.000000,0.791721,0.814822,0.815844,0.783917,0.790601,0.745866,0.747665,0.719113,0.732532,0.679061,0.646955,,0.048380,0.050333,0.037046,0.029807,0.025676,0.022941,0.021201,0.019620,0.018596,0.017821,0.017488,0.017159,,0,1.000000,0.961190,1.305931,1.623075,1.884240,2.108893,2.281922,2.465804,2.601634,2.714800,2.766426,2.819577,,0.071722,0.079816,0.065693,0.058418,0.055452,0.052465,0.052496,0.050840,0.051055,0.049685,0.051862,0.053238,,0,1.000000,0.898591,1.091774,1.227728,1.293403,1.367038,1.366223,1.410734,1.404788,1.443516,1.382936,1.347187,,,50,50,50,50,50,50,50,50,50,50,50,50,,481847,481847,481847,481847,481847,481847,481847,481847,481847,481847,481847,481847,
2048x2048,0.573542,,0.040049,0.063868,0.051843,0.045098,0.043681,0.041439,0.042209,0.042771,0.043182,0.041260,0.042416,0.040158,,0,1.000000,0.627060,0.772506,0.888038,0.916844,0.966453,0.948812,0.936357,0.927453,0.970648,0.944200,0.997282,,0.194950,0.205196,0.144860,0.114067,0.096382,0.084673,0.077521,0.072754,0.067128,0.064893,0.061822,0.061230,,0,1.000000,0.950069,1.345786,1.709082,2.022691,2.302396,2.514802,2.679580,2.904159,3.004182,3.153431,3.183928,,0.234999,0.269064,0.196703,0.159165,0.140063,0.126112,0.119731,0.115525,0.110310,0.106153,0.104237,0.101387,,0,1.000000,0.873396,1.194693,1.476446,1.677813,1.863419,1.962733,2.034185,2.130362,2.213781,2.254464,2.317832,,,50,50,50,50,50,50,50,50,50,50,50,50,,1920893,1920893,1920893,1920893,1920893,1920893,1920893,1920893,1920893,1920893,1920893,1920893,
4096x4096,2.239022,,0.083755,0.157984,0.136782,0.124809,0.116027,0.113108,0.109854,0.109472,0.108802,0.110081,0.111075,0.110809,,0,1.000000,0.530150,0.612328,0.671070,0.721863,0.740490,0.762423,0.765083,0.769798,0.760851,0.754044,0.755855,,0.702038,0.792836,0.566081,0.443884,0.383461,0.336587,0.303617,0.281825,0.261061,0.245043,0.237181,0.226669,,0,1.000000,0.885477,1.240172,1.581580,1.830796,2.085757,2.312246,2.491045,2.689177,2.864963,2.959932,3.097189,,0.785794,0.950820,0.702863,0.568693,0.499487,0.449695,0.413472,0.391297,0.369862,0.355124,0.348255,0.337478,,0,1.000000,0.826438,1.117990,1.381754,1.573201,1.747393,1.900477,2.008177,2.124557,2.212731,2.256371,2.328427,,,50,50,50,50,50,50,50,50,50,50,50,50,,7703868,7703868,7703868,7703868,7703868,7703868,7703868,7703868,7703868,7703868,7703868,7703868,
8192x8192,8.539293,,0.209798,0.464694,0.395361,0.355747,0.329937,0.320362,0.305362,0.302346,0.290177,0.285184,0.301105,0.291002,,0,1.000000,0.451475,0.530649,0.589739,0.635872,0.654877,0.687045,0.693900,0.722998,0.735657,0.696758,0.720948,,2.942319,3.230864,2.310247,1.825694,1.528531,1.342813,1.200878,1.111060,1.024704,0.974627,0.932076,0.882612,,0,1.000000,0.910691,1.273595,1.611616,1.924933,2.191160,2.450139,2.648207,2.871385,3.018919,3.156736,3.333651,,3.152116,3.695558,2.705608,2.181441,1.858467,1.663175,1.506240,1.413406,1.314881,1.259811,1.233181,1.173614,,0,1.000000,0.852947,1.165031,1.444970,1.696084,1.895240,2.092705,2.230156,2.397264,2.502055,2.556085,2.685820,,,50,50,50,50,50,50,50,50,50,50,50,50,,30818051,30818051,30818051,30818051,30818051,30818051,30818051,30818051,30818051,30818051,30818051,30818051,



Mon Oct  9 01:46:40 2017

Percolation,Site
Probability,0.600000
Perc type,2,
Runs,50
Size,Allocation,,1: Percolation,2: Percolation,3: Percolation,4: Percolation,5: Percolation,6: Percolation,7: Percolation,8: Percolation,9: Percolation,10: Percolation,11: Percolation,12: Percolation,,0,1,2,3,4,5,6,7,8,9,10,11,12,,1: Cluster,2: Cluster,3: Cluster,4: Cluster,5: Cluster,6: Cluster,7: Cluster,8: Cluster,9: Cluster,10: Cluster,11: Cluster,12: Cluster,,0,1,2,3,4,5,6,7,8,9,10,11,12,,1: Total,2: Total,3: Total,4: Total,5: Total,6: Total,7: Total,8: Total,9: Total,10: Total,11: Total,12: Total,,0,1,2,3,4,5,6,7,8,9,10,11,12,,,1: Times percolated,2: Times percolated,3: Times percolated,4: Times percolated,5: Times percolated,6: Times percolated,7: Times percolated,8: Times percolated,9: Times percolated,10: Times percolated,11: Times percolated,12: Times percolated,,1: Avg cluster size,2: Avg cluster size,3: Avg cluster size,4: Avg cluster size,5: Avg cluster size,6: Avg cluster size,7: Avg cluster size,8: Avg cluster size,9: Avg cluster size,10: Avg cluster size,11: Avg cluster size,12: Avg cluster size,
64x64,0.000792,,0.000162,0.000280,0.000205,0.000241,0.000183,0.000252,0.000281,0.000228,0.000250,0.000226,0.000210,0.001046,,0,1.000000,0.580764,0.791116,0.675114,0.888413,0.644521,0.578649,0.712190,0.649178,0.719087,0.772075,0.155392,,0.000197,0.000248,0.000197,0.000178,0.000168,0.000165,0.000159,0.000158,0.000158,0.000166,0.000168,0.000651,,0,1.000000,0.793998,0.997128,1.102159,1.172988,1.189278,1.239053,1.241016,1.241451,1.182553,1.173432,0.302142,,0.000359,0.000527,0.000403,0.000419,0.000351,0.000417,0.000439,0.000387,0.000409,0.000392,0.000378,0.001696,,0,1.000000,0.680875,0.892016,0.856887,1.024491,0.860257,0.817077,0.928901,0.878688,0.915535,0.949967,0.211681,,,34,34,34,34,34,34,34,34,34,34,34,34,,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,
128x128,0.002453,,0.000634,0.000650,0.000532,0.000539,0.000535,0.000639,0.000565,0.000555,0.000509,0.000906,0.000565,0.001291,,0,1.000000,0.974973,1.191689,1.175374,1.183276,0.992101,1.121784,1.141321,1.243898,0.699347,1.120901,0.490727,,0.000773,0.000800,0.000660,0.000560,0.000510,0.000483,0.000465,0.000460,0.000452,0.000755,0.000456,0.000722,,0,1.000000,0.965669,1.171182,1.379779,1.516314,1.600790,1.661325,1.679098,1.709494,1.023887,1.696219,1.070475,,0.001406,0.001450,0.001191,0.001099,0.001045,0.001121,0.001030,0.001015,0.000961,0.001661,0.001021,0.002013,,0,1.000000,0.969838,1.180332,1.279537,1.345693,1.254156,1.365471,1.385094,1.462833,0.846851,1.377676,0.698649,,,37,37,37,37,37,37,37,37,37,37,37,37,,7720,7720,7720,7720,7720,7720,7720,7720,7720,7720,7720,7720,
256x256,0.009267,,0.002997,0.003028,0.002826,0.002598,0.002487,0.002501,0.002409,0.002398,0.002366,0.003292,0.002779,0.003103,,0,1.000000,0.989804,1.060468,1.153814,1.204887,1.198323,1.244074,1.250005,1.266548,0.910454,1.078554,0.965839,,0.003020,0.003132,0.002457,0.001924,0.001683,0.001545,0.001430,0.001373,0.001315,0.001900,0.001518,0.001546,,0,1.000000,0.964259,1.229209,1.569740,1.794383,1.954643,2.111540,2.200119,2.296545,1.589545,1.989121,1.953807,,0.006017,0.006160,0.005283,0.004522,0.004171,0.004046,0.003839,0.003770,0.003681,0.005192,0.004297,0.004649,,0,1.000000,0.976816,1.138941,1.330793,1.442784,1.487132,1.567227,1.595914,1.634476,1.158967,1.400282,1.294336,,,41,41,41,41,41,41,41,41,41,41,41,41,,30134,30134,30134,30134,30134,30134,30134,30134,30134,30134,30134,30134,
512x512,0.037037,,0.010619,0.010966,0.010464,0.009452,0.009424,0.009041,0.009127,0.009068,0.009107,0.009210,0.009332,0.009351,,0,1.000000,0.968395,1.014799,1.123448,1.126775,1.174518,1.163534,1.170987,1.166093,1.153033,1.137958,1.135608,,0.012055,0.011769,0.009123,0.007222,0.006217,0.005564,0.005289,0.004906,0.004681,0.004559,0.004377,0.004474,,0,1.000000,1.024349,1.321430,1.669267,1.939144,2.166511,2.279122,2.457142,2.575295,2.644334,2.754074,2.694420,,0.022674,0.022734,0.019587,0.016674,0.015641,0.014606,0.014416,0.013975,0.013788,0.013769,0.013709,0.013825,,0,1.000000,0.997360,1.157616,1.359853,1.449663,1.552442,1.572858,1.62252


Mon Oct  9 02:05:49 2017

Percolation,Site
Probability,0.600000
Perc type,2,
Runs,50
Size,Allocation,,1: Percolation,2: Percolation,3: Percolation,4: Percolation,5: Percolation,6: Percolation,7: Percolation,8: Percolation,9: Percolation,10: Percolation,11: Percolation,12: Percolation,,0,1,2,3,4,5,6,7,8,9,10,11,12,,1: Cluster,2: Cluster,3: Cluster,4: Cluster,5: Cluster,6: Cluster,7: Cluster,8: Cluster,9: Cluster,10: Cluster,11: Cluster,12: Cluster,,0,1,2,3,4,5,6,7,8,9,10,11,12,,1: Total,2: Total,3: Total,4: Total,5: Total,6: Total,7: Total,8: Total,9: Total,10: Total,11: Total,12: Total,,0,1,2,3,4,5,6,7,8,9,10,11,12,,,1: Times percolated,2: Times percolated,3: Times percolated,4: Times percolated,5: Times percolated,6: Times percolated,7: Times percolated,8: Times percolated,9: Times percolated,10: Times percolated,11: Times percolated,12: Times percolated,,1: Avg cluster size,2: Avg cluster size,3: Avg cluster size,4: Avg cluster size,5: Avg cluster size,6: Avg cluster size,7: Avg cluster size,8: Avg cluster size,9: Avg cluster size,10: Avg cluster size,11: Avg cluster size,12: Avg cluster size,
